title,detail,link,date
"楼市"去库存"列入安徽省等13个省份政府工作"，"根据国家统计局于2月19日发布的房地产开发和销售数据，2015年全国房地产库存待售面积高达71853万平方米，较2014年末的62169万平方米增加近万平方米。", "http://hefei.house.qq.com/a/20160302/017563.htm","2016-03-02"
"2015中国都邑GDP排名出炉","GDP最高的四大经济强省方面：广东21个省辖市中，9个进入世界百强；江苏13个省辖市所有进入世界百强，是独一悉数省辖市都跻身世界百强的省份；山东17个省辖市中，15个进入世界百强，百强都邑数目居世界各省首位；浙江11个省辖市中，8个进入世界百强。","http://www.cpirc.org.cn/tongjishuju/48012.html","2016-02-26"
"2016年1-4月份全国房地产开发投资和销售情况","2016年1-4月份，全国房地产开发投资25376亿元，同比名义增长7.2%，增速比1-3月份提高1个百分点。其中，住宅投资16887亿元，增长6.4%，增速提高1.8个百分点。住宅投资占房地产开发投资的比重为66.5%。","http://www.realestate.cei.gov.cn/file/br.aspx?id=20160516110152","2016-05-16"
"美国房地产市场的历史及现状"," 美国房地产市场拥有市场经济所固有的周期性发展规律，1923年至今，美国房地产市场出现了3次显著的泡沫，特别是最近一次的次贷危机更是引发了全球危机。究其根源，美国房地产市场的周期性发展，取决于人口、利率以及信贷、税收等多重因素的综合作用。", "http://www.fang.com/news/2013-06-05/10253750.htm","2013-06-05"
